description,category,transaction_type
Upwork freelance software contract card payment,Income,income
Blinkit instant grocery delivery charge,Food,expense
RayBan sunglasses eyewear store,Shopping,expense
Kitchen non stick pan cookware card payment,Shopping,expense
Udemy online web development course,Education,expense
Dermatologist skin care clinic fee,Health,expense
Petrol fuel HPCL station refill,Transport,expense
Standup comedy show tickets card payment,Entertainment,expense
Cashback rewards reward points bonus,Income,income
Taxi cab rental city tour via UPI,Transport,expense
Zomato food delivery online,Food,expense
Dentist dental clinic checkup teeth cleaning bill,Health,expense
Steam PC video game digital download,Entertainment,expense
Swiggy dinner order bill,Food,expense
H&M casual tshirts and jeans payment,Shopping,expense
Furniture wooden study desk chair subscription,Shopping,expense
Monthly salary credited by employer subscription,Income,income
Royal Canin dog puppy dry food breed via UPI,Pets,expense
Part time consulting project income subscription,Income,income
H&M casual tshirts and jeans,Shopping,expense
Mobile phone prepaid recharge pack,Bills,expense
Decathlon sports gym equipment via UPI,Shopping,expense
Monthly salary credited by employer store,Income,income
Pet vaccination injection rabies shot deworming,Pets,expense
Royal Canin dog puppy dry food breed online,Pets,expense
Diesel fuel full tank for car payment,Transport,expense
Udemy online web development course bill,Education,expense
Supermarket grocery fruits vegetables,Food,expense
Uber auto ride daily commute bill,Transport,expense
Pet accessories dog bed cat toys chew bone,Pets,expense
Freelance technical writing payout,Income,income
Credit card annual membership fee bill via UPI,Bills,expense
Pedigree adult dog meat gravy chicken rice card payment,Pets,expense
Cult Fit gym fitness center membership subscription,Health,expense
Royal Canin dog puppy dry food breed,Pets,expense
